https://adventofcode.com/2020/leaderboard/self

      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 25   00:15:45   987      0   00:15:49   813      0
 24   00:21:04  1157      0   00:41:05  1056      0
 23   02:13:09  3966      0   02:20:47  1720      0
 22   00:12:45  1630      0   01:02:35  1774      0
 21   01:03:33  2421      0   01:06:37  2091      0
 20   00:39:29   837      0   06:59:24  2022      0
 19   01:31:00  2624      0   03:40:27  2800      0
 18   01:41:01  4594      0   01:47:34  3448      0
 17   00:49:38  2169      0   00:51:32  1763      0
 16   00:30:07  3522      0   01:35:54  3457      0
 15   01:07:59  6028      0   01:09:49  4568      0
 14   00:25:13  2233      0   00:46:13  1534      0
 13   00:22:49  4763      0   00:44:34   955      0
 12   00:11:02   994      0   00:27:21  1314      0
 11   00:52:46  4590      0   01:06:28  3253      0
 10   00:46:14  8727      0   00:58:48  3197      0
  9   00:07:58  1380      0   00:17:49  1852      0
  8   00:08:11  1569      0   00:15:51  1009      0
  7   01:30:22  7351      0   01:40:08  5577      0
  6   00:09:23  3393      0   00:13:29  2090      0
  5   00:10:28  1329      0   00:15:00  1293      0
  4   00:15:42  2993      0   00:43:03  2586      0
  3   00:25:32  5733      0   00:29:37  4665      0
  2   00:18:51  4177      0   00:24:39  3761      0
  1   00:09:14  1611      0   00:10:09  1140      0
